observedStorage,observedOutflow,observedWaterSupply,elevationEnd,inflow,storage,outflow,totalWaterSupply,waterSupply,elevation,totalIndoor,totalOutdoor,numOfHouseholds,population,shiftFactor,ignore,deficit,reliability,resilience,sumDeficit,nonzerodeficit,maxDeficit,averageDemand,sustainabilityindex
1959400.7695966493,0.0,0.0,0.0,5566.00947579485,112503.02113242412,3966.9421487603304,1546.8413641744437,1546.8413641744437,249.8902146612803,2.932953783833625E8,4.0332813472219214E7,146996.0,388460.0,0.9846666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1994531.274599581,0.0,0.0,0.0,35130.50500293165,112174.92464398197,33719.00826446282,1739.5932269110149,1739.5932269110149,249.85987188051254,3.040882247926112E8,7.111336749748418E7,147503.0,389802.0,0.9843333333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2004079.6808288489,0.0,0.0,0.0,9548.406229267846,111613.6017837021,7933.884297520661,2175.8447920270196,2175.8447920270196,249.80796002808677,3.051341118785369E8,1.6415975401816168E8,148011.0,391103.0,0.984,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2065083.4215565904,0.0,0.0,0.0,61003.74072774141,114591.14927297125,55537.19008264461,2489.0031558278024,2489.0031558278024,250.07693567134487,2.7651716618742335E8,2.6031979824484998E8,148518.0,392445.0,0.9836666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2116114.0062421965,0.0,0.0,0.0,51030.58468560635,111685.46589464671,51570.24793388428,2366.020130046712,2366.020130046712,249.81460611251703,3.071551890967459E8,2.0315636331155127E8,149026.0,393695.0,0.9833333333333334,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2173882.0827462156,0.0,0.0,0.0,57768.076504019176,112409.95027409555,55537.19008264461,1506.4020419258607,1506.4020419258607,249.88160734986548,2.982337329256368E8,2.667236352044812E7,149533.0,394985.0,0.983,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2258698.97890239,0.0,0.0,0.0,84816.89615617447,121639.37352296767,71404.95867768595,4182.514229616403,4182.514229616403,250.6841224606278,3.0922399776487595E8,5.928753979166646E8,150041.0,396265.0,0.9826666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2312687.296894205,0.0,0.0,0.0,53988.3179918148,125688.52344122648,47603.305785123965,2335.862288432026,2335.862288432026,251.03017434452627,3.002245371273144E8,2.035824658157486E8,150548.0,397550.0,0.9823333333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2349531.0758490446,0.0,0.0,0.0,36843.778954839756,124834.12782864245,35702.479338842975,1995.6952285808388,1995.6952285808388,250.95934250763634,3.11255751726842E8,1.1918282201882572E8,151056.0,398836.0,0.982,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2411795.557503762,0.0,0.0,0.0,62264.48165471758,114339.1249303206,59504.132231404954,13255.352321634484,13255.352321634484,250.05522440819442,3.1230265811874956E8,2.5466584027217107E9,151563.0,400120.0,0.9816666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2412493.4013778893,0.0,0.0,0.0,697.8438741270852,103680.6056912587,5950.413223140496,5405.949890048496,5405.949890048496,249.0743064543844,3.0321687410209167E8,8.627574325385382E8,152071.0,401429.0,0.9813333333333334,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2416660.8439698387,0.0,0.0,0.0,4167.442591949551,102620.71001930993,3689.2561983471073,1538.0820655512025,1538.0820655512025,248.975312006667,3.143960420908536E8,1.734291339611519E7,152578.0,402719.0,0.981,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2555081.244256399,0.0,0.0,0.0,138420.40028656053,169869.31876020774,69421.48760330575,1750.3039423571722,1750.3039423571722,254.37406256686714,3.052583483853138E8,7.225336872462475E7,153086.0,404046.0,0.9806666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2637006.704951914,0.0,0.0,0.0,81925.4606955148,173188.28872885575,75371.90082644626,3234.5899004206785,3234.5899004206785,254.6082381097055,3.16486997002472E8,3.811607417152306E8,153593.0,405320.0,0.9803333333333334,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2657399.268589518,0.0,0.0,0.0,20392.56363760421,128756.78947935026,61487.603305785095,3336.4595813248866,3336.4595813248866,251.27743569017247,3.175075104199046E8,4.021118397583809E8,154101.0,406579.0,0.98,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2739443.5632487554,0.0,0.0,0.0,82044.2946592372,152389.62881944218,55537.19008264461,2874.2652365009335,2874.2652365009335,253.11072677474195,2.8773168145437914E8,3.3219996504594505E8,154608.0,407904.0,0.9796666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2902602.945458697,0.0,0.0,0.0,163159.38220994172,206803.8083944035,107107.43801652895,1637.7646184517153,1637.7646184517153,256.8626122572413,3.195837701147578E8,3.365506936422369E7,155116.0,409196.0,0.9793333333333334,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2967846.7211895664,0.0,0.0,0.0,65243.77573086917,185583.62962910978,83305.78512396697,3158.169372196051,3158.169372196051,255.46353421214303,3.102711233223163E8,3.7089396679094887E8,155623.0,410496.0,0.979,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3027523.6720048594,0.0,0.0,0.0,59676.95081529279,124611.86300280024,119008.26446280991,1640.452978792484,1640.452978792484,250.94019495199865,3.2164590390222263E8,3.217277060074578E7,156131.0,411785.0,0.9786666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3034274.8350102073,0.0,0.0,0.0,6751.163005347788,122081.57894113443,5950.413223140496,3331.033843873114,3331.033843873114,250.72221734503225,3.12246428390267E8,4.0620267963131356E8,156638.0,413072.0,0.9783333333333334,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3034368.047575765,0.0,0.0,0.0,93.21256555775702,114506.19838687299,6148.760330578512,1519.8327892406808,1519.8327892406808,250.069617366202,3.2369749558457386E8,4105391.7320310553,157146.0,414362.0,0.978,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3051004.768601196,0.0,0.0,0.0,16636.721025431052,120775.58404304774,6148.760330578512,4218.575038677778,4218.575038677778,250.60970916980082,3.247136048617212E8,5.851635130880653E8,157653.0,415616.0,0.9776666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3292402.0026980494,0.0,0.0,0.0,241397.23409685356,133218.12956726138,226115.70247933886,2838.986093301039,2838.986093301039,251.63696023589824,3.152686515975166E8,2.9705386507921326E8,158161.0,416934.0,0.9773333333333334,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3300995.000529618,0.0,0.0,0.0,8592.997831568438,112293.48479129757,27768.59504132232,1749.047566209951,1749.047566209951,249.87083647380908,3.26814267882255E8,5.0426469596533746E7,158668.0,418267.0,0.977,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3306068.4492559,0.0,0.0,0.0,5073.448726281809,111293.1096607787,3966.9421487603304,2106.8817080403414,2106.8817080403414,249.77832050871902,3.172540316713571E8,1.3716563345204765E8,159176.0,419618.0,0.9766666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3311386.177824299,0.0,0.0,0.0,5317.728568398761,112362.57357510571,1983.4710743801652,2264.793579691589,2264.793579691589,249.87722589245405,3.288628630605256E8,1.596157905483251E8,159683.0,420925.0,0.9763333333333334,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3358532.543324446,0.0,0.0,0.0,47146.36550014705,111525.13576003832,45619.834710743795,2363.968604470718,2363.968604470718,249.79977857764158,3.299083696940981E8,1.7996070245463365E8,160191.0,422208.0,0.976,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3386018.06730544,0.0,0.0,0.0,27485.523980994218,111340.66000776926,25785.123966942156,1884.8757663211366,1884.8757663211366,249.78271802531853,2.9889512849385494E8,1.0764151343612063E8,160698.0,423488.0,0.9756666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3581820.995422215,0.0,0.0,0.0,195802.92811677523,197498.86828925723,103140.49586776864,6504.223967518887,6504.223967518887,256.2591399111004,3.319614897621566E8,1.070892436932141E9,161206.0,424796.0,0.9753333333333334,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3616280.667045121,0.0,0.0,0.0,34459.671622905684,166627.3628341063,63471.07438016526,1860.102697891579,1860.102697891579,254.14532088013166,3.222270620940141E8,7.896643721117741E7,161713.0,426026.0,0.975,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3637113.0993380877,0.0,0.0,0.0,20832.43229296681,125548.6531790266,59504.132231404954,2407.009716641545,2407.009716641545,251.01890266572863,3.339972859939043E8,1.8515504477545014E8,162221.0,427307.0,0.9746666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3726535.7003642307,0.0,0.0,0.0,89422.601026143,118268.51067054122,89256.19834710743,7446.545187520979,7446.545187520979,250.39373110531884,3.2420535226472664E8,1.2818917330742438E9,162728.0,428593.0,0.9743333333333334,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3785836.642524727,0.0,0.0,0.0,59300.94216049671,128119.02091934162,47603.305785123965,1847.1261265723394,1847.1261265723394,251.22604004507548,3.360392641774448E8,6.235540253511972E7,163235.0,429890.0,0.974,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3792108.3435028307,0.0,0.0,0.0,6271.7009781034085,126332.9408894306,5950.413223140496,2107.36778487395,2107.36778487395,251.08210580138856,3.370607140248604E8,1.1746378986142415E8,163743.0,431132.0,0.9736666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3797046.342940995,0.0,0.0,0.0,4937.999438164227,122078.09630623367,5950.413223140496,3242.4307982206483,3242.4307982206483,250.72191732479615,3.271829916349392E8,3.721558995282304E8,164250.0,432427.0,0.9733333333333334,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3798468.0084323697,0.0,0.0,0.0,1421.665491374591,111204.0938822565,9917.355371900827,2378.3125434509084,2378.3125434509084,249.77008821624494,3.3912962110712653E8,1.7383320230587894E8,164758.0,433698.0,0.973,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3798538.5297561483,0.0,0.0,0.0,70.5213237787841,102415.30640649401,3570.2479338842977,5289.060865656972,5289.060865656972,248.954966957854,3.2920588190048605E8,8.11557388395865E8,165265.0,434993.0,0.9726666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3834428.707152697,0.0,0.0,0.0,35890.177396548606,112743.6638262926,23801.65289256199,1760.1670841880311,1760.1670841880311,249.91246960383728,3.4120027566551244E8,3.843875860270503E7,165773.0,436276.0,0.9723333333333334,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3885777.3557368503,0.0,0.0,0.0,51348.64858415345,112050.61041278347,49586.77685950412,2454.9251381585727,2454.9251381585727,249.84837514221616,3.4222229811935186E8,1.8726459947314394E8,166280.0,437583.0,0.972,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
4002524.5089834607,0.0,0.0,0.0,116747.15324661034,168570.1660416299,57520.66115702477,2706.9364607393827,2706.9364607393827,254.28239864824877,3.1005260596438134E8,2.737889810142927E8,166788.0,438885.0,0.9716666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
4159942.1296554278,0.0,0.0,0.0,157417.62067196687,210573.21784606873,113057.85123966941,2356.7176278589236,2356.7176278589236,257.10241859796173,3.4430310875325066E8,1.6400204722901788E8,167295.0,440156.0,0.9713333333333334,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
4281203.949705541,0.0,0.0,0.0,121261.82005011349,216679.69840286512,113057.8512396694,2097.488253647947,2097.488253647947,257.48269513033165,3.341804169483174E8,1.1821323485744178E8,167803.0,441448.0,0.971,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
4369145.364598509,0.0,0.0,0.0,87941.41489296751,124278.84194158108,176528.9256198347,3813.345734416851,3813.345734416851,250.91150602529126,3.463072127727576E8,4.7616862202151054E8,168310.0,442732.0,0.9706666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
4372610.834733058,0.0,0.0,0.0,3465.4701345486487,118716.01978594242,5950.413223140496,3077.8790670468147,3077.8790670468147,250.43228288989854,3.361296521532298E8,3.2771814224334383E8,168818.0,444020.0,0.9703333333333334,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
4383522.538059993,0.0,0.0,0.0,10911.703326935103,119946.64247680258,6148.760330578512,3532.320305496444,3532.320305496444,250.53829793907673,3.483391612801986E8,4.135241195134247E8,169325.0,445301.0,0.97,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
4383123.388908244,0.0,0.0,0.0,-399.14915174918855,99766.15565394741,6148.760330578512,13632.577340527465,13632.577340527465,248.6925708848997,3.49383805003378E8,2.5909384761229405E9,169833.0,446615.0,0.9696666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
4384293.406213731,0.0,0.0,0.0,1170.0173054872291,91940.652875162,5950.413223140496,3045.106861132145,3045.106861132145,247.91128685244647,3.391313278405032E8,3.176480417933927E8,170340.0,447961.0,0.9693333333333334,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
